epoch,train_prob,val_prob,train_perc,val_perc,train_acc,val_acc
0,0.14344088491096627,0.18244127656715214,0.985131322595456,0.9862525629874288,0.6894,0.698175397292525
1,0.17610382127884078,0.2355861092152665,0.9860982155109117,0.9865493057289392,0.69805,0.6966450853443202
2,0.2211441110422835,0.28163843645175385,0.9866104376998881,0.9872976920653813,0.69605,0.6965273690406121
3,0.25219480771618547,0.3063407617163959,0.9875193224622569,0.9881515742743655,0.6973,0.6980576809888169
4,0.26827412436181913,0.31982751606358956,0.9883552374881474,0.9888308363442321,0.6979,0.7042966450853443
5,0.27950620311048113,0.3317676517420096,0.989143503209792,0.9892466395026347,0.71005,0.7081812831077104
6,0.2838388795550389,0.3422462972194031,0.9892139790697387,0.9896520394711198,0.70545,0.7119482048263684
7,0.2932120723930275,0.3491330965667395,0.9896022594171217,0.9899494501713253,0.715,0.7163037080635668
8,0.3007259919166216,0.35757286389782617,0.989683749581364,0.99019902351844,0.71385,0.7207769276044732
9,0.3078486196786747,0.36341451386906853,0.9903394280084691,0.9903627418473293,0.724,0.7223072395526781
10,0.3112118573763291,0.3704629396610269,0.9902561427571008,0.9904737080598737,0.72215,0.7243084167157151
11,0.3196123036318109,0.37306171742721783,0.9910468266401277,0.9906810016843102,0.73245,0.7279576221306651
12,0.3227516963435395,0.37557640372939394,0.990968056797182,0.9908155999217813,0.73235,0.7288993525603296
13,0.32746579644026935,0.3815610192200578,0.9911179485947117,0.9909164824166454,0.7313,0.729723366686286
14,0.33040037262963595,0.38261333324805585,0.991179297030334,0.9910460032438684,0.7349,0.731489111241907
15,0.3361186811062973,0.38942859902785537,0.9914584385877623,0.9910816344000994,0.74205,0.7319599764567393
16,0.33825436247856705,0.39303803647100366,0.9916191980712885,0.991201590525821,0.7405,0.7338434373160683
17,0.3404227065589221,0.395010368306033,0.9916222283977575,0.9912711246706438,0.7412,0.735138316656857
18,0.34120512108721884,0.3957260525181589,0.9917172951197308,0.9913773753852595,0.7432,0.7365509123013537
19,0.34782937781907386,0.39769828731820134,0.991767281425729,0.9914115230808027,0.7453,0.7376103590347263
20,0.3482186272799503,0.40129908935244735,0.9917690883857165,0.9914968733592618,0.74625,0.7394938198940554
21,0.35117613548227816,0.40179472402510524,0.9920511322389157,0.9915446648782977,0.74785,0.7412595644496763
22,0.3532416683439515,0.40674547519509613,0.9919627253565001,0.9916520834999906,0.75055,0.7431430253090053
23,0.356097410831257,0.40778045852431777,0.9919335691761202,0.9916765257654896,0.7483,0.7432607416127134
24,0.3590264578570146,0.409864917572773,0.9921477598100642,0.9916875480505578,0.751,0.7443201883460859
25,0.3600213604976132,0.40963066437669765,0.9922966003062785,0.9916815955679499,0.75885,0.7450264861683343
26,0.36057754020902794,0.4119143166013058,0.9923870571125495,0.9917607045835666,0.7579,0.7462036492054149
27,0.3637453877002932,0.4138309448096285,0.9924730040104532,0.9917827218761315,0.75965,0.7458505002942908
28,0.3659214411947934,0.4153187367927257,0.9926218538809186,0.9917480922490179,0.76305,0.7452619187757504
29,0.3661118856516434,0.41766802982491313,0.9927117458309301,0.991774401750695,0.76305,0.7456150676868746
30,0.36794781035747726,0.4160454404571057,0.9924361689676311,0.9918472598876974,0.7586,0.7472630959387875
31,0.37066013541794385,0.4184440547952581,0.9926201314309897,0.9918591502409543,0.7645,0.746439081812831
32,0.3701384549907409,0.4194434159775739,0.9926498851342656,0.9918484486615805,0.7614,0.746439081812831
33,0.36951518604245503,0.42085262121585554,0.992561209405197,0.9919490981357332,0.76165,0.7491465567981166
34,0.37137039824870005,0.42140475053256876,0.9927697294979458,0.9919697676632057,0.7667,0.7490288404944084
35,0.3730567871252191,0.4212418251671171,0.9928002234498922,0.9919607942670468,0.7624,0.7490288404944084
36,0.37284566998735535,0.42053193890156904,0.9928174017638779,0.9920211368802262,0.7651,0.7500882872277811
37,0.3723192835180671,0.4225550816099479,0.992946133156477,0.9919792134564334,0.76225,0.7498528546203649
38,0.37549238958042114,0.4227002936422226,0.9929089863602041,0.9919275862645361,0.76605,0.7480871100647439
39,0.37777144214622677,0.4237256742505441,0.99303503509947,0.9919762310247495,0.7683,0.7504414361389052
40,0.37816086939641974,0.42525387784850405,0.9931886987338078,0.9919866749409347,0.7718,0.7503237198351972
41,0.3779578840576811,0.4250252991510482,0.9931582724385244,0.9920216757968744,0.7678,0.7507945850500294
42,0.3784524143515737,0.4243422140403782,0.9928270833741076,0.9920127709120149,0.76705,0.7511477339611536
